Country,Year,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust,Generosity
Switzerland,2015,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678
Iceland,2015,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363
Denmark,2015,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139
Norway,2015,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699
Finland,2015,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351
Denmark,2016,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171
Switzerland,2016,2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083
Iceland,2016,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678
Norway,2016,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895
Finland,2016,5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492
Norway,2017,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.315963835,0.362012237
Denmark,2017,2,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.400770068,0.355280489
Iceland,2017,3,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.153526559,0.475540221
Switzerland,2017,4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.367007285,0.290549278
Finland,2017,5,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.382611543,0.245482773
Finland,2018,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202
Norway,2018,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286
Denmark,2018,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284
Iceland,2018,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353
Switzerland,2018,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256
Finland,2019,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153
Denmark,2019,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252
Norway,2019,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271
Iceland,2019,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354
Switzerland,2019,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263
Finland,2020,1,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.477857262,0.159670442
Denmark,2020,2,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.495260328,0.242793396
Switzerland,2020,3,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.407945901,0.269055754
Iceland,2020,4,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.144540772,0.362330228
Norway,2020,5,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.434100568,0.287985086
Finland,2021,1,7.842,1.446,1.106,0.741,0.691,0.481,0.124
Denmark,2021,2,7.62,1.502,1.108,0.763,0.686,0.485,0.208
Switzerland,2021,3,7.571,1.566,1.079,0.816,0.653,0.413,0.204
Iceland,2021,4,7.554,1.482,1.172,0.772,0.698,0.17,0.293
Norway,2021,6,7.392,1.543,1.108,0.782,0.703,0.427,0.249
